,symbol,date,open,high,low,close,volume,adj_close,prev_day_diff,50_day_moving_avg,10_day_volatility,s&p_index_open,s&p_index_high,s&p_index_low,s&p_index_close,s&p_index_volume,s&p_index_adj_close
11,AMZN,1997-06-03,0.00141844289462,0.00140013230519,0.00138992222515,0.00137028943367,1183200,0.000116408317026,-0.03125,1.542102,0.027602,846.359985,850.559998,841.51001,845.47998,527120000.0,845.47998
12,AMZN,1997-06-04,0.00137019962542,0.00136203041905,0.00131161065972,0.00131239001062,3080400,0.000111489666828,-0.0625,1.532453,0.068227,845.47998,845.549988,838.820007,840.109985,466690000.0,840.109985
13,AMZN,1997-06-05,0.00131230399707,0.00140966006266,0.00129203746668,0.00142818885673,5672400,0.000121326967225,0.125,1.533111,0.045314,840.109985,848.890015,840.109985,843.429993,452610000.0,843.429993
14,AMZN,1997-06-06,0.00140396435588,0.00156204931979,0.00141928671303,0.00153433471104,7807200,0.000130344230261,0.11458,1.54132,0.133852,843.429993,859.23999,843.359985,858.01001,488940000.0,858.01001
15,AMZN,1997-06-09,0.00153423415132,0.00156204931979,0.00155631785759,0.00156328442257,2352000,0.00013280355536,0.03125,1.550456,0.146352,858.01001,865.140015,858.01001,862.909973,465810000.0,862.909973
16,AMZN,1997-06-10,0.00158247742051,0.00156204931979,0.00143885990607,0.00146678229617,5458800,0.000124605542701,-0.10417,1.55239,0.042182,862.909973,870.049988,862.179993,865.27002,526980000.0,865.27002
17,AMZN,1997-06-11,0.00147633852297,0.00146680832002,0.00143885990607,0.00142818885673,1188000,0.000121326967225,-0.04166,1.551794,0.00052,865.27002,870.659973,865.150024,869.570007,513740000.0,869.570007
18,AMZN,1997-06-12,0.00146668616381,0.00150490106244,0.00145843309911,0.00148608827979,1632000,0.000126245617423,0.0625,1.554551,0.052084,869.570007,884.340027,869.01001,883.460022,592730000.0,883.460022
19,AMZN,1997-06-13,0.00150528633715,0.00148585469123,0.00148779758699,0.00146678229617,693600,0.000124605542701,-0.02084,1.55599,0.022911,883.47998,894.690002,883.47998,893.27002,575810000.0,893.27002
20,AMZN,1997-06-16,0.00148599088213,0.00146680832002,0.00146822439395,0.00145713856826,913200,0.000123786292324,-0.01041,1.556796,0.006251,893.27002,895.169983,891.210022,893.900024,414280000.0,893.900024
21,AMZN,1997-06-17,0.00148116477974,0.00146204451748,0.00140459969247,0.0013944127265,4706400,0.000118457623445,-0.06771,1.554451,0.064063,893.900024,897.599976,886.190002,894.419983,543010000.0,894.419983
22,AMZN,1997-06-18,0.00140879053546,0.00140489626012,0.00140949541819,0.0013992391452,2464800,0.000118867642126,0.00521,1.552537,0.068228,894.419983,894.419983,887.030029,889.059998,491740000.0,889.059998
23,AMZN,1997-06-19,0.0013991474396,0.00140013230519,0.00140949541819,0.0013992391452,1003200,0.000118867642126,0.0,1.550782,0.065103,889.059998,900.090027,888.98999,897.98999,536940000.0,897.98999
24,AMZN,1997-06-20,0.00141844289462,0.00141917867641,0.00140949541819,0.00141370929182,3387600,0.000120096911183,0.01562,1.549792,0.036462,897.98999,901.77002,897.77002,898.700012,653110000.0,898.700012
25,AMZN,1997-06-23,0.00142809525378,0.00140966006266,0.00138992222515,0.00138958615339,1047600,0.000118047604764,-0.02604,1.547877,0.043752,898.700012,898.700012,878.429993,878.619995,492940000.0,878.619995
26,AMZN,1997-06-24,0.00139432133722,0.00139536835026,0.00138992222515,0.0013992391452,751200,0.000118867642126,0.01042,1.54649,0.026041,878.619995,896.75,878.619995,896.340027,542650000.0,896.340027
27,AMZN,1997-06-25,0.00141361663784,0.00139536835026,0.00139970412335,0.0013992391452,2106000,0.000118867642126,0.0,1.545202,0.022916,896.340027,902.090027,882.23999,888.98999,603040000.0,888.98999
28,AMZN,1997-06-26,0.00140879053546,0.00139060454773,0.00141439114392,0.0013992391452,3189600,0.000118867642126,0.0,1.544003,0.013541,888.98999,893.210022,879.320007,883.679993,499780000.0,883.679993
29,AMZN,1997-06-27,0.00140396435588,0.00138584066899,0.00138992222515,0.00137993316158,1188000,0.000117227567403,-0.02084,1.542189,0.025006,883.679993,894.700012,883.679993,887.299988,472540000.0,887.299988
30,AMZN,1997-06-30,0.0013991474396,0.00146204451748,0.00138992222515,0.00142818885673,2746800,0.000121326967225,0.05209,1.542172,0.030209,887.299988,892.619995,879.820007,885.140015,561540000.0,885.140015
31,AMZN,1997-07-01,0.00142809525378,0.00140966006266,0.00141928671303,0.0014040563772,1292400,0.000119276873822,-0.02605,1.541342,0.003118,885.140015,893.880005,884.539978,891.030029,544190000.0,891.030029
32,AMZN,1997-07-02,0.00140396435588,0.00145728056255,0.00141928671303,0.00147160871487,3882000,0.000125015561382,0.07292,1.542772,0.068226,891.030029,904.049988,891.030029,904.030029,526970000.0,904.030029
33,AMZN,1997-07-03,0.00148116477974,0.00175254960679,0.00149758888183,0.00177075897637,12577200,0.000150428849735,0.32292,1.553616,0.351042,904.030029,917.820007,904.030029,916.919983,374680000.0,916.919983
34,AMZN,1997-07-07,0.00169826867722,0.00184779053037,0.00172271349002,0.00185278153786,8053200,0.000157396806353,0.08854,1.56637,0.392186,916.919983,923.26001,909.690002,912.200012,518780000.0,912.200012
35,AMZN,1997-07-08,0.00189126035778,0.00213353181714,0.00191848308528,0.00213262558413,15517200,0.000181170019984,0.30208,1.586806,0.614058,912.200012,918.76001,911.559998,918.75,526010000.0,918.75
36,AMZN,1997-07-09,0.00213248581266,0.00218116161315,0.00213381624203,0.00215193172216,8262000,0.000182810094706,0.02084,1.606701,0.553648,918.75,922.030029,902.47998,907.539978,589110000.0,907.539978
37,AMZN,1997-07-10,0.00216143362684,0.00235260638521,0.00219254521778,0.00237387634538,9051600,0.000201664658139,0.23958,1.631854,0.68802,907.539978,916.539978,904.309998,913.780029,551340000.0,913.780029
38,AMZN,1997-07-11,0.00233512051189,0.00230497658921,0.00207508726627,0.00212298201063,10531200,0.000180350769607,-0.27083,1.648772,0.339065,913.780029,919.73999,913.109985,916.679993,500050000.0,916.679993
39,AMZN,1997-07-14,0.00215179068537,0.00213353181714,0.00198699380263,0.00197823345298,4604400,0.000168054144111,-0.15625,1.660938,0.118231,916.679993,921.780029,912.02002,918.380005,485960000.0,918.380005
40,AMZN,1997-07-15,0.00197810380031,0.00226688399918,0.00200657654892,0.00225807749926,9274800,0.000191827357742,0.30208,1.679879,0.330728,918.380005,926.150024,914.52002,925.76001,598370000.0,925.76001
41,AMZN,1997-07-16,0.00226758194207,0.00228116649166,0.0021631807299,0.00216157529566,3024000,0.000183629345083,-0.10417,1.695437,0.144787,925.76001,939.320007,925.76001,936.590027,647390000.0,936.590027
42,AMZN,1997-07-17,0.00217108606319,0.00214305965081,0.00202614966365,0.00205542951856,3169200,0.000174612082047,-0.11458,1.707607,0.032814,936.590027,936.960022,927.900024,931.609985,629250000.0,931.609985
43,AMZN,1997-07-18,0.00202634699231,0.0020287631361,0.00202614966365,0.0019975300955,780000,0.000169693431849,-0.0625,1.717803,0.119793,931.609985,931.609985,912.900024,915.299988,589710000.0,915.299988
44,AMZN,1997-07-21,0.00201669455596,0.00200971684108,0.00201635829051,0.00202165338832,574800,0.000171742738268,0.02604,1.728125,0.111982,915.299988,915.380005,907.119995,912.940002,459500000.0,912.940002
45,AMZN,1997-07-22,0.00200705161449,0.00200018900742,0.00193805620002,0.00197823345298,1563600,0.000168054144111,-0.04687,1.736979,0.142186,912.940002,934.380005,912.940002,933.97998,579590000.0,933.97998
46,AMZN,1997-07-23,0.00202634699231,0.00213353181714,0.00204572277839,0.00212298201063,3259200,0.000180350769607,0.15625,1.748781,0.017189,933.97998,941.799988,933.97998,936.559998,616930000.0,936.559998
